# Data Description: ,,,,,,
#                 daily simple return of CRSP equal-weighted index from January 1980 to December 1999,,,,,,
# Variables: ,,,,,,
#                  date: yearmmdd,,,,,,
"#                  weekday: 1=Monday, 2=Tuesday, 3=Wednesday, 4=Thursday, 5=Friday",,,,,,
#                  Mon: indicator for Monday,,,,,,
#                  Tue: indicator for Tuesday,,,,,,
#                  Wed: indicator for Wednesday,,,,,,
#                  Thu: indicator for Thursday,,,,,,
#                  ret: return,,,,,,
,,,,,,
date,weekday,Mon,Tue,Wed,Thu,ret
19800102,3,0,0,1,0,-0.01169
19800103,4,0,0,0,1,-0.01163
19800104,5,0,0,0,0,0.01581
19800107,1,1,0,0,0,0.00701
19800108,2,0,1,0,0,0.01415
19800109,3,0,0,1,0,0.00745
19800110,4,0,0,0,1,0.01119
19800111,5,0,0,0,0,0.00703
19800114,1,1,0,0,0,0.00884
19800115,2,0,1,0,0,0.00531
19800116,3,0,0,1,0,0.00592
19800117,4,0,0,0,1,0.00239
19800118,5,0,0,0,0,0.00439
19800121,1,1,0,0,0,0.00779
19800122,2,0,1,0,0,-0.00461
19800123,3,0,0,1,0,0.0086
19800124,4,0,0,0,1,0.00567
19800125,5,0,0,0,0,0.00384
19800128,1,1,0,0,0,0.00743
19800129,2,0,1,0,0,-0.00164
19800130,3,0,0,1,0,0.00729
19800131,4,0,0,0,1,2.00E-04
19800201,5,0,0,0,0,0.00362
19800204,1,1,0,0,0,0.00066
19800205,2,0,1,0,0,0.00242
19800206,3,0,0,1,0,0.00557
19800207,4,0,0,0,1,0.00616
19800208,5,0,0,0,0,0.00767
19800211,1,1,0,0,0,-0.00307
19800212,2,0,1,0,0,0.00193
19800213,3,0,0,1,0,0.00212
19800214,4,0,0,0,1,-0.00731
19800215,5,0,0,0,0,-0.00489
19800219,2,0,1,0,0,-0.0075
19800220,3,0,0,1,0,0.00539
19800221,4,0,0,0,1,-0.00463
19800222,5,0,0,0,0,-0.0057
19800225,1,1,0,0,0,-0.01014
19800226,2,0,1,0,0,0.00092
19800227,3,0,0,1,0,-0.00279
19800228,4,0,0,0,1,-0.00052
19800229,5,0,0,0,0,0.00467
19800303,1,1,0,0,0,-0.00505
19800304,2,0,1,0,0,-0.00823
19800305,3,0,0,1,0,-0.01341
19800306,4,0,0,0,1,-0.02366
19800307,5,0,0,0,0,-0.01457
19800310,1,1,0,0,0,-0.01656
19800311,2,0,1,0,0,0.00633
19800312,3,0,0,1,0,-0.00224
19800313,4,0,0,0,1,-0.00302
19800314,5,0,0,0,0,-0.00339
19800317,1,1,0,0,0,-0.02738
19800318,2,0,1,0,0,-0.00657
19800319,3,0,0,1,0,0.00725
19800320,4,0,0,0,1,-0.00359
19800321,5,0,0,0,0,-0.00443
19800324,1,1,0,0,0,-0.02695
19800325,2,0,1,0,0,-0.01714
19800326,3,0,0,1,0,-0.00316
19800327,4,0,0,0,1,-0.05611
19800328,5,0,0,0,0,0.03749
19800331,1,1,0,0,0,0.01242
19800401,2,0,1,0,0,0.00885
19800402,3,0,0,1,0,0.0112
19800403,4,0,0,0,1,0.00102
19800407,1,1,0,0,0,-0.01599
19800408,2,0,1,0,0,0.00346
19800409,3,0,0,1,0,0.01047
19800410,4,0,0,0,1,0.01155
19800411,5,0,0,0,0,0.00598
19800414,1,1,0,0,0,-0.00713
19800415,2,0,1,0,0,-0.00233
19800416,3,0,0,1,0,-0.00471
19800417,4,0,0,0,1,-0.00673
19800418,5,0,0,0,0,0.00046
19800421,1,1,0,0,0,-0.00975
19800422,2,0,1,0,0,0.02117
19800423,3,0,0,1,0,0.00848
19800424,4,0,0,0,1,0.00955
19800425,5,0,0,0,0,-0.00198
19800428,1,1,0,0,0,0.00452
19800429,2,0,1,0,0,0.00469
19800430,3,0,0,1,0,0.00368
19800501,4,0,0,0,1,-0.00128
19800502,5,0,0,0,0,0.00277
19800505,1,1,0,0,0,0.00482
19800506,2,0,1,0,0,0.00435
19800507,3,0,0,1,0,0.00944
19800508,4,0,0,0,1,-0.00029
19800509,5,0,0,0,0,-0.00243
19800512,1,1,0,0,0,0.00019
19800513,2,0,1,0,0,0.00696
19800514,3,0,0,1,0,0.00813
19800515,4,0,0,0,1,0.00488
19800516,5,0,0,0,0,0.00417
19800519,1,1,0,0,0,0.00198
19800520,2,0,1,0,0,0.00122
19800521,3,0,0,1,0,0.00122
19800522,4,0,0,0,1,0.00877
19800523,5,0,0,0,0,0.01017
19800527,2,0,1,0,0,0.00478
19800528,3,0,0,1,0,0.00289
19800529,4,0,0,0,1,-0.0045
19800530,5,0,0,0,0,0.00311
19800602,1,1,0,0,0,-0.00067
19800603,2,0,1,0,0,-0.00031
19800604,3,0,0,1,0,0.00849
19800605,4,0,0,0,1,0.00392
19800606,5,0,0,0,0,0.00463
19800609,1,1,0,0,0,0.00297
19800610,2,0,1,0,0,0.00372
19800611,3,0,0,1,0,0.00551
19800612,4,0,0,0,1,-7.00E-05
19800613,5,0,0,0,0,0.00662
19800616,1,1,0,0,0,0.00149
19800617,2,0,1,0,0,0.00216
19800618,3,0,0,1,0,3.00E-04
19800619,4,0,0,0,1,-0.00337
19800620,5,0,0,0,0,-0.00076
19800623,1,1,0,0,0,0.00381
19800624,2,0,1,0,0,0.00471
19800625,3,0,0,1,0,0.00794
19800626,4,0,0,0,1,0.00081
19800627,5,0,0,0,0,0.00203
19800630,1,1,0,0,0,-0.00661
19800701,2,0,1,0,0,0.00296
19800702,3,0,0,1,0,0.00575
19800703,4,0,0,0,1,0.01016
19800707,1,1,0,0,0,0.00471
19800708,2,0,1,0,0,0.00063
19800709,3,0,0,1,0,0.0038
19800710,4,0,0,0,1,-7.00E-04
19800711,5,0,0,0,0,0.00556
19800714,1,1,0,0,0,0.01146
19800715,2,0,1,0,0,0.00153
19800716,3,0,0,1,0,0.00438
19800717,4,0,0,0,1,0.00995
19800718,5,0,0,0,0,0.00694
19800721,1,1,0,0,0,0.00343
19800722,2,0,1,0,0,-0.00085
19800723,3,0,0,1,0,-0.00015
19800724,4,0,0,0,1,0.00175
19800725,5,0,0,0,0,-0.00122
19800728,1,1,0,0,0,0.00261
19800729,2,0,1,0,0,0.00673
19800730,3,0,0,1,0,0.00732
19800731,4,0,0,0,1,-0.00124
19800801,5,0,0,0,0,0.00408
19800804,1,1,0,0,0,-0.00156
19800805,2,0,1,0,0,0.00265
19800806,3,0,0,1,0,0.00653
19800807,4,0,0,0,1,0.00963
19800808,5,0,0,0,0,0.00403
19800811,1,1,0,0,0,0.00567
19800812,2,0,1,0,0,-0.00298
19800813,3,0,0,1,0,0.00195
19800814,4,0,0,0,1,0.01087
19800815,5,0,0,0,0,0.00586
19800818,1,1,0,0,0,-0.01165
19800819,2,0,1,0,0,-0.00384
19800820,3,0,0,1,0,0.00725
19800821,4,0,0,0,1,0.01352
19800822,5,0,0,0,0,0.00827
19800825,1,1,0,0,0,0.00031
19800826,2,0,1,0,0,0.00364
19800827,3,0,0,1,0,-0.00116
19800828,4,0,0,0,1,-0.00532
19800829,5,0,0,0,0,0.00507
19800902,2,0,1,0,0,0.00806
19800903,3,0,0,1,0,0.01351
19800904,4,0,0,0,1,0.00228
19800905,5,0,0,0,0,0.00296
19800908,1,1,0,0,0,-0.00233
19800909,2,0,1,0,0,0.00318
19800910,3,0,0,1,0,0.00898
19800911,4,0,0,0,1,0.00877
19800912,5,0,0,0,0,0.00621
19800915,1,1,0,0,0,0.00292
19800916,2,0,1,0,0,0.00915
19800917,3,0,0,1,0,0.01207
19800918,4,0,0,0,1,0.00118
19800919,5,0,0,0,0,0.00902
19800922,1,1,0,0,0,0.00343
19800923,2,0,1,0,0,-0.00625
19800924,3,0,0,1,0,0.00077
19800925,4,0,0,0,1,-0.00304
19800926,5,0,0,0,0,-0.01603
19800929,1,1,0,0,0,-0.0237
19800930,2,0,1,0,0,0.01088
19801001,3,0,0,1,0,0.00668
19801002,4,0,0,0,1,0.00639
19801003,5,0,0,0,0,0.01139
19801006,1,1,0,0,0,0.01154
19801007,2,0,1,0,0,-2.00E-05
19801008,3,0,0,1,0,0.00629
19801009,4,0,0,0,1,0.00233
19801010,5,0,0,0,0,0.00158
19801013,1,1,0,0,0,0.00763
19801014,2,0,1,0,0,0.00301
19801015,3,0,0,1,0,0.00607
19801016,4,0,0,0,1,-0.00451
19801017,5,0,0,0,0,-0.00244
19801020,1,1,0,0,0,0.00182
19801021,2,0,1,0,0,-0.00279
19801022,3,0,0,1,0,0.00528
19801023,4,0,0,0,1,-0.00788
19801024,5,0,0,0,0,0.00338
19801027,1,1,0,0,0,-0.00622
19801028,2,0,1,0,0,-0.002
19801029,3,0,0,1,0,0.00194
19801030,4,0,0,0,1,-0.0065
19801031,5,0,0,0,0,0.00348
19801103,1,1,0,0,0,0.00437
19801105,3,0,0,1,0,0.0113
19801106,4,0,0,0,1,-0.01137
19801107,5,0,0,0,0,-0.00211
19801110,1,1,0,0,0,0.00039
19801111,2,0,1,0,0,0.00798
19801112,3,0,0,1,0,0.01278
19801113,4,0,0,0,1,0.01044
19801114,5,0,0,0,0,0.00668
19801117,1,1,0,0,0,0.00037
19801118,2,0,1,0,0,0.00737
19801119,3,0,0,1,0,0.0028
19801120,4,0,0,0,1,0.00567
19801121,5,0,0,0,0,-0.00282
19801124,1,1,0,0,0,-0.00573
19801125,2,0,1,0,0,0.00595
19801126,3,0,0,1,0,0.00492
19801128,5,0,0,0,0,0.00493
19801201,1,1,0,0,0,-0.01066
19801202,2,0,1,0,0,-0.00556
19801203,3,0,0,1,0,0.00385
19801204,4,0,0,0,1,0.00501
19801205,5,0,0,0,0,-0.01038
19801208,1,1,0,0,0,-0.0278
19801209,2,0,1,0,0,-0.0076
19801210,3,0,0,1,0,-0.00907
19801211,4,0,0,0,1,-0.02356
19801212,5,0,0,0,0,0.01052
19801215,1,1,0,0,0,0.00209
19801216,2,0,1,0,0,-0.00139
19801217,3,0,0,1,0,0.0075
19801218,4,0,0,0,1,0.00694
19801219,5,0,0,0,0,0.00806
19801222,1,1,0,0,0,0.008
19801223,2,0,1,0,0,0.00141
19801224,3,0,0,1,0,0.00411
19801226,5,0,0,0,0,0.00424
19801229,1,1,0,0,0,-0.00571
19801230,2,0,1,0,0,0.00117
19801231,3,0,0,1,0,0.00993
19810102,5,0,0,0,0,0.00946
19810105,1,1,0,0,0,0.01059
19810106,2,0,1,0,0,0.00537
19810107,3,0,0,1,0,-0.03238
19810108,4,0,0,0,1,-0.00516
19810109,5,0,0,0,0,0.00891
19810112,1,1,0,0,0,0.00447
19810113,2,0,1,0,0,-0.00066
19810114,3,0,0,1,0,0.0057
19810115,4,0,0,0,1,0.00418
19810116,5,0,0,0,0,0.00574
19810119,1,1,0,0,0,0.00212
19810120,2,0,1,0,0,-0.01068
19810121,3,0,0,1,0,-0.00287
19810122,4,0,0,0,1,-0.00466
19810123,5,0,0,0,0,0.0017
19810126,1,1,0,0,0,-0.00398
19810127,2,0,1,0,0,0.00473
19810128,3,0,0,1,0,0.001
19810129,4,0,0,0,1,0.0026
19810130,5,0,0,0,0,0.0011
19810202,1,1,0,0,0,-0.01865
19810203,2,0,1,0,0,0.00111
19810204,3,0,0,1,0,0.00477
19810205,4,0,0,0,1,0.00792
19810206,5,0,0,0,0,0.00725
19810209,1,1,0,0,0,-0.00282
19810210,2,0,1,0,0,-0.00121
19810211,3,0,0,1,0,-0.0024
19810212,4,0,0,0,1,-0.00452
19810213,5,0,0,0,0,-0.00173
19810217,2,0,1,0,0,-6.00E-05
19810218,3,0,0,1,0,0.00181
19810219,4,0,0,0,1,-0.00804
19810220,5,0,0,0,0,-0.00196
19810223,1,1,0,0,0,0.00181
19810224,2,0,1,0,0,0.00292
19810225,3,0,0,1,0,-3.00E-05
19810226,4,0,0,0,1,0.00866
19810227,5,0,0,0,0,0.00821
19810302,1,1,0,0,0,0.00382
19810303,2,0,1,0,0,-0.00161
19810304,3,0,0,1,0,0.00252
19810305,4,0,0,0,1,0.00122
19810306,5,0,0,0,0,0.00296
19810309,1,1,0,0,0,0.00355
19810310,2,0,1,0,0,-0.00227
19810311,3,0,0,1,0,-0.00181
19810312,4,0,0,0,1,0.01168
19810313,5,0,0,0,0,0.00579
19810316,1,1,0,0,0,0.00643
19810317,2,0,1,0,0,-0.00024
19810318,3,0,0,1,0,0.0042
19810319,4,0,0,0,1,0.00319
19810320,5,0,0,0,0,0.00872
19810323,1,1,0,0,0,0.00598
19810324,2,0,1,0,0,-0.00012
19810325,3,0,0,1,0,0.00905
19810326,4,0,0,0,1,0.00195
19810327,5,0,0,0,0,-0.00249
19810330,1,1,0,0,0,-0.00022
19810331,2,0,1,0,0,0.00754
19810401,3,0,0,1,0,0.00516
19810402,4,0,0,0,1,0.0029
19810403,5,0,0,0,0,0.00275
19810406,1,1,0,0,0,-0.00662
19810407,2,0,1,0,0,0.00181
19810408,3,0,0,1,0,0.00389
19810409,4,0,0,0,1,0.00505
19810410,5,0,0,0,0,0.00456
19810413,1,1,0,0,0,-0.00529
19810414,2,0,1,0,0,-0.00367
19810415,3,0,0,1,0,0.0064
19810416,4,0,0,0,1,0.00824
19810420,1,1,0,0,0,0.00335
19810421,2,0,1,0,0,-0.00274
19810422,3,0,0,1,0,0.00086
19810423,4,0,0,0,1,0.00299
19810424,5,0,0,0,0,0.0066
19810427,1,1,0,0,0,0.00171
19810428,2,0,1,0,0,-0.00814
19810429,3,0,0,1,0,-0.00596
19810430,4,0,0,0,1,0.00279
19810501,5,0,0,0,0,-3.00E-04
19810504,1,1,0,0,0,-0.01376
19810505,2,0,1,0,0,-0.00638
19810506,3,0,0,1,0,0.00246
19810507,4,0,0,0,1,0.00541
19810508,5,0,0,0,0,0.00474
19810511,1,1,0,0,0,-0.00751
19810512,2,0,1,0,0,0.00082
19810513,3,0,0,1,0,0.00288
19810514,4,0,0,0,1,0.00555
19810515,5,0,0,0,0,0.00591
19810518,1,1,0,0,0,0.00199
19810519,2,0,1,0,0,-0.0024
19810520,3,0,0,1,0,0.00334
19810521,4,0,0,0,1,0.00132
19810522,5,0,0,0,0,0.00378
19810526,2,0,1,0,0,0.00442
19810527,3,0,0,1,0,0.00634
19810528,4,0,0,0,1,0.00427
19810529,5,0,0,0,0,0.00365
19810601,1,1,0,0,0,0.00091
19810602,2,0,1,0,0,-0.0111
19810603,3,0,0,1,0,-0.00305
19810604,4,0,0,0,1,0.00273
19810605,5,0,0,0,0,0.00489
19810608,1,1,0,0,0,-9.00E-05
19810609,2,0,1,0,0,-0.00332
19810610,3,0,0,1,0,0.00188
19810611,4,0,0,0,1,0.00827
19810612,5,0,0,0,0,0.00387
19810615,1,1,0,0,0,0.00171
19810616,2,0,1,0,0,-0.00855
19810617,3,0,0,1,0,0.00069
19810618,4,0,0,0,1,-0.00475
19810619,5,0,0,0,0,0.00258
19810622,1,1,0,0,0,-0.00101
19810623,2,0,1,0,0,0.00355
19810624,3,0,0,1,0,-0.00118
19810625,4,0,0,0,1,0.00123
19810626,5,0,0,0,0,0.00048
19810629,1,1,0,0,0,-0.00535
19810630,2,0,1,0,0,-0.00709
19810701,3,0,0,1,0,-0.00677
19810702,4,0,0,0,1,-0.00694
