Date        food
19970407    172.5  
19970408      159  
19970409    164.5  
19970410  188.875  
19970411   289.25  
19970412    283.5  
19970413    212.5  
19970414  139.125  
19970415  179.875  
19970416  210.375  
19970417  203.125  
19970418  265.375  
19970419  251.375  
19970420      182  
19970421    157.5  
19970422   179.25  
19970423  190.875  
19970424   180.25  
19970425   270.25  
19970426  294.125  
19970427   227.25  
19970428  126.125  
19970429      171  
19970430   207.25  
19970501  237.625  
19970502      302  
19970503  276.375  
19970504    223.5  
19970505   177.25  
19970506   177.25  
19970507      206  
19970508    215.5  
19970509  284.625  
19970510      292  
19970511    228.5  
19970512  160.875  
19970513   158.75  
19970514    198.5  
19970515  223.875  
19970516  282.625  
19970517      344  
19970518      269  
19970519  142.375  
19970520  172.125  
19970521  178.125  
19970522   219.25  
19970523    297.5  
19970524    283.5  
19970525  185.375  
19970526  213.125  
19970527      175  
19970528   176.75  
19970529  225.625  
19970530      289  
19970531      305  
19970601  215.375  
19970602  175.875  
19970603   233.75  
19970604  189.625  
19970605  229.625  
19970606  309.875  
19970607  266.375  
19970608   216.25  
19970609   162.75  
19970610   200.25  
19970611  205.375  
19970612  270.125  
19970613  282.125  
19970614   316.25  
19970615  248.125  
19970616  163.625  
19970617      164  
19970618   197.25  
19970619  209.875  
19970620  289.875  
19970621  294.125  
19970622  285.125  
19970623   175.25  
19970624   171.25  
19970625   205.75  
19970626  291.625  
19970627    294.5  
19970628   314.75  
19970629  244.125  
19970630   190.75  
19970701  248.375  
19970702  249.125  
19970703      288  
19970704   161.75  
19970705      220  
19970706  236.375  
19970707   173.25  
19970708  162.125  
19970709   183.25  
19970710  224.375  
19970711      271  
19970712  267.875  
19970713  209.125  
19970714   175.75  
19970715  189.625  
19970716  192.375  
19970717  247.625  
19970718  318.125  
19970719  288.625  
19970720  224.375  
19970721    181.5  
19970722  169.125  
19970723  182.125  
19970724      195  
19970725  284.375  
19970726  270.125  
19970727  224.875  
19970728  177.375  
19970729  182.375  
19970730   199.25  
19970731  224.375  
19970801  323.125  
19970802   284.25  
19970803   238.25  
19970804      188  
19970805      214  
19970806   206.25  
19970807   233.25  
19970808  269.375  
19970809   281.75  
19970810  244.125  
19970811  130.375  
19970812    162.5  
19970813  173.125  
19970814    202.5  
19970815  251.875  
19970816    278.5  
19970817  246.375  
19970818  162.375  
19970819    169.5  
19970820  186.625  
19970821    200.5  
19970822  280.375  
19970823   327.75  
19970824   204.25  
19970825  178.125  
19970826  174.125  
19970827  209.625  
19970828  228.375  
19970829  314.625  
19970830  346.875  
19970831  196.875  
19970901  178.375  
19970902   161.25  
19970903   199.75  
19970904  222.875  
19970905    263.5  
19970906  276.625  
19970907    238.5  
19970908   145.75  
19970909  188.125  
19970910  160.875  
19970911   237.25  
19970912  261.125  
19970913  299.625  
19970914  203.125  
19970915   148.75  
19970916      159  
19970917  170.125  
19970918   191.75  
19970919  264.125  
19970920      271  
19970921      227  
19970922  142.625  
19970923      189  
19970924  171.875  
19970925  194.875  
19970926      247  
19970927   280.25  
19970928    186.5  
19970929   137.75  
19970930   147.75  
19971001  197.375  
19971002    231.5  
19971003  267.375  
19971004  273.375  
19971005  212.125  
19971006  151.625  
19971007  167.625  
19971008  178.375  
19971009  191.375  
19971010      246  
19971011  280.875  
19971012  203.375  
19971013  170.375  
19971014    148.5  
19971015  148.125  
19971016  189.625  
19971017  252.375  
19971018  268.625  
19971019  182.875  
19971020   147.25  
19971021      142  
19971022    197.5  
19971023    197.5  
19971024  283.125  
19971025   255.25  
19971026    184.5  
19971027    122.5  
19971028  172.625  
19971029      156  
19971030  225.375  
19971031  295.375  
19971101      291  
19971102  224.125  
19971103   160.75  
19971104   178.75  
19971105    185.5  
19971106   191.75  
19971107    269.5  
19971108   290.75  
19971109  204.875  
19971110      148  
19971111  158.875  
19971112   170.25  
19971113      218  
19971114  211.375  
19971115  239.875  
19971116   175.25  
19971117   144.75  
19971118  174.875  
19971119  205.875  
19971120  229.375  
19971121  288.375  
19971122  329.875  
19971123  257.625  
19971124  197.125  
19971125   219.75  
19971126  290.875  
19971127  229.750 
19971128  159.875  
19971129  268.625  
19971130  222.125  
19971201    216.5  
19971202   205.25  
19971203   230.25  
19971204  230.125  
19971205  288.375  
19971206      287  
19971207   253.75  
19971208      176  
19971209      180  
19971210    205.5  
19971211  216.875  
19971212  308.125  
19971213  357.875  
19971214    269.5  
19971215   157.25  
19971216   178.25  
19971217  205.625  
19971218  245.375  
19971219  322.625  
19971220      297  
19971221   255.75  
19971222  192.625  
19971223   185.25  
19971224  247.375  
19971225  196.875  
19971226      171  
19971227  216.875  
19971228  188.125  
19971229  141.375  
19971230  185.875  
19971231  277.125  
19980101   148.25  
19980102  233.625  
19980103  260.125  
19980104   225.25  
19980105  145.375  
19980106  168.375  
19980107  171.125  
19980108  193.375  
19980109   255.75  
19980110   301.25  
19980111      213  
19980112      132  
19980113  135.875  
19980114  187.625  
19980115      207  
19980116      186  
19980117  246.625  
19980118  158.375  
19980119    110.5  
19980120   127.75  
19980121    154.5  
19980122      187  
19980123   202.75  
19980124  249.125  
19980125    194.5  
19980126   154.25  
19980127  152.625  
19980128    190.5  
19980129  217.625  
19980130      222  
19980131  284.375  
19980201      220  
19980202   145.75  
19980203   188.25  
19980204   208.75  
19980205      238  
19980206      290  
19980207  386.375  
19980208      261  
19980209      186  
19980210  193.125  
19980211  200.375  
19980212      226  
19980213  336.375  
19980214  348.375  
19980215   270.25  
19980216    185.5  
19980217   151.75  
19980218    210.5  
19980219  251.625  
19980220  315.375  
19980221  351.125  
19980222   245.25  
19980223      144  
19980224   156.75  
19980225  176.125  
19980226    223.5  
19980227  332.125  
19980228   372.75  
19980301    257.5  
19980302  177.125  
19980303   176.75  
19980304   196.75  
19980305  229.375  
19980306  284.625  
19980307    340.5  
19980308   246.75  
19980309  172.375  
19980310  207.375  
19980311  181.375  
19980312  213.375  
19980313   310.25  
19980314  303.375  
19980315  238.375  
19980316  171.875  
19980317   169.25  
19980318    194.5  
19980319  184.375  
19980320    291.5  
19980321   230.25  
19980322    154.5  
19980323  140.375  
19980324  167.125  
19980325  191.125  
19980326      229  
19980327  300.125  
19980328    316.5  
19980329  241.625  
19980330      162  
19980331  178.875  
19980401  190.125  
19980402   232.25  
19980403  294.375  
19980404  315.875  
19980405  242.125  
19980406    168.5  
19980407  165.375  
19980408    173.5  
19980409      218  
19980410    232.5  
19980411  300.125  
19980412    148.5  
19980413    126.5  
19980414    40.25  
19980415    95.75  
19980416  215.125  
19980417   293.25  
19980418  309.125  
19980419  252.125  
19980420  131.375  
19980421  190.375  
19980422   182.75  
19980423  202.375  
19980424  258.875  
19980425   296.75  
19980426      200  
19980427  165.625  
19980428  167.125  
19980429   233.75  
19980430  219.125  
19980501  325.125  
19980502    314.5  
19980503  256.375  
19980504  180.875  
19980505    187.5  
19980506  187.375  
19980507  197.125  
19980508  270.125  
19980509  343.875  
19980510    291.5  
19980511      159  
19980512      188  
19980513      213  
19980514      221  
19980515      319  
19980516  347.625  
19980517  274.875  
19980518  191.375
