DATE    MORTRATE  BOND10Y
  19730101    7.68   6.46  
  19730201    7.71   6.64  
  19730301     7.7   6.71  
  19730401    7.71   6.67  
  19730501    7.76   6.85  
  19730601    7.78   6.90  
  19730701    7.85   7.13  
  19730801    8.01   7.40  
  19730901    8.25   7.09  
  19731001    8.44   6.79  
  19731101    8.52   6.73  
  19731201    8.53   6.74  
  19740101    8.63   6.99  
  19740201    8.64   6.96  
  19740301    8.63   7.21  
  19740401    8.63   7.51  
  19740501    8.71   7.58  
  19740601    8.87   7.54  
  19740701    8.99   7.81  
  19740801    9.14   8.04  
  19740901    9.29   8.04  
  19741001    9.47   7.90  
  19741101    9.47   7.68  
  19741201    9.54   7.43  
  19750101    9.49   7.50  
  19750201    9.35   7.39  
  19750301    9.25   7.73  
  19750401    9.09   8.23  
  19750501    9.02   8.06  
  19750601    9.05   7.86  
  19750701    9.04   8.06  
  19750801    9.06   8.40  
  19750901    9.06   8.43  
  19751001    9.13   8.14  
  19751101    9.21   8.05  
  19751201     9.2   8.00  
  19760101     9.2   7.74  
  19760201    9.17   7.79  
  19760301    9.07   7.73  
  19760401    9.03   7.56  
  19760501    9.03   7.90  
  19760601    8.99   7.86  
  19760701    9.02   7.83  
  19760801    9.07   7.77  
  19760901    9.11   7.59  
  19761001     9.1   7.41  
  19761101     9.1   7.29  
  19761201    9.09   6.87  
  19770101    9.04   7.21  
  19770201       9   7.39  
  19770301    8.95   7.46  
  19770401    8.94   7.37  
  19770501    8.95   7.46  
  19770601    8.98   7.28  
  19770701    9.01   7.33  
  19770801    9.04   7.40  
  19770901    9.04   7.34  
  19771001    9.07   7.52  
  19771101    9.08   7.58  
  19771201    9.11   7.69  
  19780101    9.15   7.96  
  19780201    9.19   8.03  
  19780301    9.24   8.04  
  19780401    9.32   8.15  
  19780501    9.36   8.35  
  19780601    9.46   8.46  
  19780701     9.6   8.64  
  19780801    9.73   8.41  
  19780901    9.79   8.42  
  19781001    9.86   8.64  
  19781101    9.94   8.81  
  19781201   10.05   9.01  
  19790101   10.28   9.10  
  19790201   10.32   9.10  
  19790301   10.43   9.12  
  19790401   10.49   9.18  
  19790501   10.56   9.25  
  19790601    10.7   8.91  
  19790701   10.89   8.95  
  19790801    11.1   9.03  
  19790901   11.15   9.33  
  19791001   11.25  10.30  
  19791101   11.47  10.65  
  19791201    11.8  10.39  
  19800101   12.02  10.80  
  19800201   12.35  12.41  
  19800301   12.75  12.75  
  19800401   13.46  11.47  
  19800501   14.01  10.18  
  19800601   13.14   9.78  
  19800701   12.59  10.25  
  19800801   12.27  11.10  
  19800901   12.37  11.51  
  19801001   12.67  11.75  
  19801101   13.18  12.68  
  19801201   13.48  12.84  
  19810101   13.57  12.57  
  19810201   13.94  13.19  
  19810301   14.25  13.12  
  19810401   14.36  13.68  
  19810501   14.49  14.10  
  19810601   14.82  13.47  
  19810701    15.1  14.28  
  19810801   15.45  14.94  
  19810901    15.7  15.32  
  19811001   15.89  15.15  
  19811101   16.37  13.39  
  19811201   15.98  13.72  
  19820101   15.69  14.59  
  19820201    15.6  14.43  
  19820301   15.67  13.86  
  19820401      16  13.87  
  19820501   16.11  13.62  
  19820601   15.55  14.30  
  19820701    15.6  13.95  
  19820801   15.65  13.06  
  19820901   15.21  12.34  
  19821001   14.83  10.91  
  19821101   14.17  10.55  
  19821201   13.93  10.54  
  19830101   13.53  10.46  
  19830201   13.34  10.72  
  19830301   13.17  10.51  
  19830401   12.78  10.40  
  19830501   12.79  10.38  
  19830601   12.63  10.85  
  19830701   12.61  11.38  
  19830801   12.66  11.85  
  19830901   12.81  11.65  
  19831001    12.6  11.54  
  19831101   12.55  11.69  
  19831201   12.42  11.83  
  19840101   12.23  11.67  
  19840201   12.23  11.84  
  19840301   12.17  12.32  
  19840401   12.07  12.63  
  19840501   12.15  13.41  
  19840601   12.24  13.56  
  19840701   12.52  13.36  
  19840801   12.69  12.72  
  19840901   12.83  12.52  
  19841001   12.96  12.16  
  19841101   12.88  11.57  
  19841201   12.75  11.50  
  19850101   12.58  11.38  
  19850201   12.36  11.51  
  19850301   12.13  11.86  
  19850401   12.09  11.43  
  19850501   12.09  10.85  
  19850601   11.77  10.16  
  19850701   11.45  10.31  
  19850801   11.32  10.33  
  19850901   11.19  10.37  
  19851001   11.28  10.24  
  19851101    11.2   9.78  
  19851201   11.08   9.26  
  19860101   10.84   9.19  
  19860201    10.8   8.70  
  19860301    10.6   7.78  
  19860401   10.36   7.30  
  19860501   10.18   7.71  
  19860601   10.19   7.80  
  19860701   10.27   7.30  
  19860801   10.26   7.17  
  19860901   10.09   7.45  
  19861001    9.99   7.43  
  19861101    9.86   7.25  
  19861201    9.67   7.11  
  19870101    9.53   7.08  
  19870201    9.23   7.25  
  19870301    9.11   7.25  
  19870401    9.11   8.02  
  19870501     9.3   8.61  
  19870601    9.39   8.40  
  19870701    9.42   8.45  
  19870801     9.4   8.76  
  19870901    9.29   9.42  
  19871001    9.25   9.52  
  19871101    9.31   8.86  
  19871201    9.21   8.99  
  19880101    9.24   8.67  
  19880201    9.16   8.21  
  19880301    9.14   8.37  
  19880401    9.21   8.72  
  19880501    9.19   9.09  
  19880601    9.28   8.92  
  19880701    9.29   9.06  
  19880801    9.28   9.26  
  19880901     9.3   8.98  
  19881001    9.36   8.80  
  19881101    9.47   8.96  
  19881201    9.56   9.11  
  19890101    9.61   9.09  
  19890201    9.81   9.17  
  19890301    9.95   9.36  
  19890401   10.09   9.18  
  19890501    10.4   8.86  
  19890601   10.56   8.28  
  19890701   10.41   8.02  
  19890801   10.13   8.11  
  19890901   10.17   8.19  
  19891001   10.16   8.01  
  19891101   10.13   7.87  
  19891201      10   7.84  
  19900101   9.973   8.21  
  19900201  10.038   8.47  
  19900301  10.069   8.59  
  19900401  10.148   8.79  
  19900501   10.17   8.76  
  19900601  10.163   8.48  
  19900701  10.138   8.47  
  19900801  10.008   8.75  
  19900901   9.982   8.89  
  19901001   9.962   8.72  
  19901101    9.97   8.39  
  19901201    9.83   8.08  
  19910101     9.8   8.09  
  19910201    9.73   7.85  
  19910301     9.5   8.11  
  19910401    9.53   8.04  
  19910501    9.52   8.07  
  19910601    9.39   8.28  
  19910701    9.41   8.27  
  19910801    9.38   7.90  
  19910901    9.19   7.65  
  19911001    9.03   7.53  
  19911101    8.68   7.42  
  19911201    8.51   7.09  
  19920101    8.28   7.03  
  19920201    8.48   7.34  
  19920301    8.44   7.54  
  19920401    8.55   7.48  
  19920501     8.5   7.39  
  19920601    8.35   7.26  
  19920701    8.04   6.84  
  19920801    7.91   6.59  
  19920901    7.74   6.42  
  19921001    7.68   6.59  
  19921101    7.82   6.87  
  19921201    7.81   6.77  
  19930101    7.77   6.60  
  19930201    7.55   6.26  
  19930301     7.4   5.98  
  19930401    7.29   5.97  
  19930501    7.31   6.04  
  19930601    7.23   5.96  
  19930701    7.15   5.81  
  19930801    7.05   5.68  
  19930901    6.93   5.36  
  19931001    6.76   5.33  
  19931101    6.78   5.72  
  19931201    6.85   5.77  
  19940101    6.91   5.75  
  19940201    6.84   5.97  
  19940301       7   6.48  
  19940401    7.23   6.97  
  19940501    7.51   7.18  
  19940601    7.55   7.10  
  19940701    7.68   7.30  
  19940801    7.74   7.24  
  19940901    7.74   7.46  
  19941001    7.76   7.74  
  19941101    7.74   7.96  
  19941201    7.94   7.81  
  19950101    7.98   7.78  
  19950201     8.2   7.47  
  19950301    8.23   7.20  
  19950401    8.14   7.06  
  19950501    8.03   6.63  
  19950601    7.77   6.17  
  19950701    7.72   6.28  
  19950801    7.75   6.49  
  19950901    7.74   6.20  
  19951001    7.67   6.04  
  19951101    7.59   5.93  
  19951201    7.34   5.71  
  19960101    7.31   5.65  
  19960201    7.26   5.81  
  19960301    7.46   6.27  
  19960401    7.72   6.51  
  19960501    7.87   6.74  
  19960601    7.94   6.91  
  19960701    8.03   6.87  
  19960801    7.94   6.64  
  19960901    7.94   6.83  
  19961001    7.85   6.53  
  19961101    7.72   6.20  
  19961201    7.63   6.30  
  19970101    7.73   6.58  
  19970201    7.71   6.42  
  19970301    7.78   6.69  
  19970401    7.92   6.89  
  19970501    7.93   6.71  
  19970601    7.87   6.49  
  19970701    7.69   6.22  
  19970801    7.63   6.30  
  19970901    7.61   6.21  
  19971001    7.53   6.03  
  19971101    7.47   5.88  
  19971201    7.41   5.81  
  19980101    7.26   5.54  
  19980201     7.2   5.57  
  19980301     7.2   5.65  
  19980401    7.21   5.64  
  19980501    7.21   5.65  
  19980601    7.19   5.50  
  19980701    7.14   5.46  
  19980801    7.11   5.34  
  19980901       7   4.81  
  19981001    6.86   4.53  
  19981101    6.87   4.83  
  19981201    6.91   4.65  
  19990101     6.9   4.72  
  19990201    6.93   5.00  
  19990301       7   5.23  
  19990401    7.02   5.18  
  19990501    7.04   5.54  
  19990601    7.22   5.90  
  19990701    7.46   5.79  
  19990801    7.51   5.94  
  19990901    7.58   5.92  
  19991001    7.57   6.11  
  19991101    7.59   6.03  
  19991201    7.58   6.28  
  20000101    7.82   6.66  
  20000201    7.97   6.52  
  20000301    8.02   6.26  
  20000401    8.03   5.99  
  20000501     8.1   6.44  
  20000601    8.16   6.10  
  20000701    8.09   6.05  
  20000801    8.01   5.83  
  20000901    7.92   5.80  
  20001001    7.85   5.74  
  20001101    7.77   5.72  
  20001201    7.64   5.24  
  20010101    7.32   5.16  
  20010201    7.17   5.10  
  20010301     7.1   4.89  
  20010401    7.09   5.14  
  20010501    7.17   5.39  
  20010601    7.17   5.28  
  20010701    7.18   5.24  
  20010801    7.07   4.97  
  20010901    6.93   4.73  
  20011001    6.73   4.57  
  20011101    6.62   4.65  
  20011201    6.77   5.09  
  20020101    6.89   5.04  
  20020201    6.84   4.91  
  20020301    6.83   5.28  
  20020401    6.92   5.21  
  20020501    6.79   5.16  
  20020601    6.67   4.93  
  20020701    6.53   4.65  
  20020801    6.37   4.26  
  20020901    6.28   3.87  
  20021001    6.14   3.94  
