Month-Year,Sales
Jan-92,14976
Feb-92,16022
Mar-92,17980
Apr-92,18878
May-92,20052
Jun-92,18815
Jul-92,18578
Aug-92,20519
Sep-92,18715
Oct-92,20984
Nov-92,25024
Dec-92,37425
Jan-93,16066
Feb-93,16326
Mar-93,19065
Apr-93,20276
May-93,21575
Jun-93,20568
Jul-93,20674
Aug-93,21836
Sep-93,20649
Oct-93,22636
Nov-93,26719
Dec-93,39698
Jan-94,17059
Feb-94,17669
Mar-94,21685
Apr-94,21422
May-94,22431
Jun-94,22643
Jul-94,21846
Aug-94,23506
Sep-94,22099
Oct-94,24104
Nov-94,28642
Dec-94,42172
Jan-95,18519
Feb-95,18606
Mar-95,22523
Apr-95,23034
May-95,24152
Jun-95,24246
Jul-95,23498
Aug-95,24916
Sep-95,23515
Oct-95,24453
Nov-95,30226
Dec-95,42901
Jan-96,18953
Feb-96,20797
Mar-96,23583
Apr-96,23762
May-96,26166
Jun-96,25152
Jul-96,24072
Aug-96,26718
Sep-96,24174
Oct-96,26375
Nov-96,31155
Dec-96,44491
Jan-97,21155
Feb-97,21561
Mar-97,25678
Apr-97,24489
May-97,27446
Jun-97,26327
Jul-97,25900
Aug-97,28074
Sep-97,24940
Oct-97,27921
Nov-97,32551
Dec-97,45412
Jan-98,22519
Feb-98,23057
Mar-98,26156
Apr-98,27482
May-98,29234
Jun-98,27849
Jul-98,27447
Aug-98,29068
Sep-98,26747
Oct-98,29424
Nov-98,34457
Dec-98,48356
Jan-99,24647
Feb-99,25180
Mar-99,29363
Apr-99,28978
May-99,31293
Jun-99,30419
Jul-99,29900
Aug-99,31056
Sep-99,29487
Oct-99,31468
Nov-99,36360
Dec-99,53277
Jan-00,26055
Feb-00,27283
Mar-00,31304
Apr-00,31304
May-00,33112
Jun-00,32652
Jul-00,31660
Aug-00,33422
Sep-00,31261
Oct-00,32799
Nov-00,39777
Dec-00,55307
1-Jan,28690
1-Feb,28588
1-Mar,32352
1-Apr,33486
1-May,35124
1-Jun,34389
1-Jul,33395
1-Aug,36224
1-Sep,32641
1-Oct,34916
1-Nov,42479
1-Dec,58174
2-Jan,30550
2-Feb,31444
2-Mar,36638
2-Apr,34985
2-May,38110
