# Data Description: ,,
"#                 Daily returns of S&P composite index from January 3, 2000 to December 31, 2003",,
# Variables: ,,
#                  Date: yearmmdd,,
#                  Ret: daily return on S&P composite index,,
"#                  Weekdays: 1=Monday, 2=Tuesday, 3=Wednesday, 4=Thursday, 5=Friday",,
,,
Date,Ret,Weekdays
20000103,0.002859,1
20000104,-0.017464,2
20000105,0.007803,3
20000106,0.004501,4
20000107,0.017006,5
20000110,0.015343,1
20000111,-0.006093,2
20000112,-0.002522,3
20000113,0.013058,4
20000114,0.00913,5
20000118,0.01205,2
20000119,0.008121,3
20000120,0.003462,4
20000121,0.008252,5
20000124,-0.002536,1
20000125,0.000876,2
20000126,0.003858,3
20000127,-0.00222,4
20000128,-0.014998,5
20000131,-0.005387,1
20000201,0.008005,2
20000202,0.008163,3
20000203,0.013517,4
20000204,0.006737,5
20000207,0.009024,1
20000208,0.009977,2
20000209,-0.00177,3
20000210,0.00738,4
20000211,-0.001104,5
20000214,0.00727,1
20000215,0.001395,2
20000216,0.004021,3
20000217,0.010392,4
20000218,-0.006793,5
20000222,-0.000432,2
20000223,0.005501,3
20000224,-0.001448,4
20000225,0.000993,5
20000228,0.006129,1
20000229,0.018782,2
20000301,0.013943,3
20000302,0.004561,4
20000303,0.014377,5
20000306,0.004812,1
20000307,-0.005036,2
20000308,0.001184,3
20000309,0.013066,4
20000310,0.000292,5
20000313,-0.008055,1
20000314,-0.012347,2
20000315,-0.005382,3
20000316,0.015276,4
20000317,0.003696,5
20000320,-0.014677,1
20000321,-0.004291,2
20000322,0.012678,3
20000323,0.006436,4
20000324,0.001126,5
20000327,-0.002387,1
20000328,-0.008877,2
20000329,-0.013103,3
20000330,-0.017732,4
20000331,0.013082,5
20000403,-0.023603,1
20000404,-0.028027,2
20000405,0.008257,3
20000406,0.019034,4
20000407,0.012981,5
20000410,-0.016997,1
20000411,-0.015818,2
20000412,-0.027043,3
20000413,-0.015747,4
20000414,-0.063532,5
20000417,-0.009464,1
20000418,0.048375,2
20000419,0.011454,3
20000420,0.003072,4
20000424,-0.017582,1
20000425,0.023615,2
20000426,-0.002098,3
20000427,0.004434,4
20000428,0.0149,5
20000501,0.01806,1
20000502,-0.008349,2
20000503,-0.014462,3
20000504,0.006201,4
20000505,0.008439,5
20000508,-0.006947,1
20000509,-0.010112,2
20000510,-0.023448,3
20000511,0.013094,4
20000512,0.004596,5
20000515,0.004769,1
20000516,0.008254,2
20000517,-0.006216,3
20000518,-0.00572,4
20000519,-0.015361,5
20000522,-0.015328,1
20000523,-0.014358,2
20000524,-0.00883,3
20000525,-0.005182,4
20000526,-0.002741,5
20000530,0.021646,2
20000531,0.002841,3
20000601,0.01944,4
20000602,0.030817,5
20000605,0.00789,1
20000606,0.002686,2
20000607,0.008723,3
20000608,0.001034,4
20000609,0.010056,5
20000612,-0.006035,1
20000613,0.002474,2
20000614,0.000571,3
20000615,-0.002751,4
20000616,-0.001287,5
20000619,0.003198,1
20000620,-0.000044,2
20000621,0.003107,3
20000622,-0.006835,4
20000623,-0.002644,5
20000626,0.003306,1
20000627,-0.00268,2
20000628,0.0095,3
20000629,-0.001176,4
20000630,0.003358,5
20000703,0.009024,1
20000705,-0.006482,3
20000706,0.004354,4
20000707,0.005132,5
20000710,0.002212,1
20000711,0.000482,2
20000712,0.011111,3
20000713,0.004405,4
20000714,0.006735,5
20000717,0.005179,1
20000718,-0.004606,2
20000719,-0.00682,3
20000720,0.004754,4
20000721,-0.008281,5
20000724,-0.009727,1
20000725,-0.001819,2
20000726,-0.004911,3
20000727,-0.013466,4
20000728,-0.01631,5
20000731,0.007197,1
20000801,-0.003006,2
20000802,0.000405,3
20000803,-0.001736,4
20000804,0.008047,5
20000807,0.006635,1
20000808,0.000134,2
20000809,0.000013,3
20000810,-0.004777,4
20000811,0.006042,5
20000814,0.005694,1
20000815,-0.001375,2
20000816,0.002046,3
20000817,0.005211,4
20000818,0.001246,5
20000821,0.002034,1
20000822,0.002003,2
20000823,0.002526,3
20000824,0.005367,4
20000825,0.005941,5
20000828,0.005058,1
20000829,0.004731,2
20000830,0.005606,3
20000831,0.011371,4
20000901,0.007541,5
20000905,-0.000042,2
20000906,-0.001761,3
20000907,0.006168,4
20000908,-0.005502,5
20000911,-0.003372,1
20000912,-0.002046,2
20000913,0.000268,3
20000914,0.004807,4
20000915,-0.005824,5
20000918,-0.018982,1
20000919,0.003366,2
20000920,-0.005834,3
20000921,-0.00688,4
20000922,-0.002151,5
20000925,-0.004229,1
20000926,-0.009643,2
20000927,-0.007022,3
20000928,0.014466,4
20000929,0.000785,5
20001002,-0.011854,1
20001003,-0.009381,2
20001004,-0.001495,3
20001005,-0.005787,4
20001006,-0.017413,5
20001009,-0.005925,1
20001010,-0.01169,2
20001011,-0.017653,3
20001012,-0.020823,4
20001013,0.021627,5
20001016,0.002146,1
20001017,-0.018519,2
20001018,-0.011112,3
20001019,0.025749,4
20001020,0.013441,5
20001023,0.006081,1
20001024,0.001388,2
20001025,-0.015731,3
20001026,0.000814,4
20001027,0.005721,5
20001030,-0.000079,1
20001031,0.021838,2
20001101,0.001611,3
20001102,0.014666,4
20001103,0.004902,5
20001106,0.000188,1
20001107,0.001552,2
20001108,-0.009607,3
20001109,-0.011649,4
20001110,-0.017447,5
20001113,-0.012678,1
20001114,0.015987,2
20001115,-0.000127,3
20001116,-0.013756,4
20001117,-0.001549,5
20001120,-0.020696,1
20001121,-0.011458,2
20001122,-0.019061,3
20001124,0.020281,5
20001127,-0.004667,1
20001128,-0.022892,2
20001129,-0.013989,3
20001130,-0.019437,4
20001201,0.018336,5
20001204,-0.010931,1
20001205,0.027533,2
20001206,-0.00779,3
20001207,-0.007371,4
20001208,0.026017,5
20001211,0.0121,1
20001212,-0.006394,2
20001213,-0.006037,3
20001214,-0.013291,4
20001215,-0.010895,5
20001218,-0.009968,1
20001219,-0.014531,2
20001220,-0.037598,3
20001221,-0.005015,4
20001222,0.026255,5
20001226,-0.005793,2
20001227,0.010886,3
20001228,0.022096,4
20001229,0.016061,5
20010102,-0.001131,2
20010103,0.046215,3
20010104,0.011353,4
20010105,-0.008607,5
20010108,-0.00505,1
20010109,0.011816,2
20010110,0.02066,3
20010111,0.027173,4
20010112,0.019464,5
20010116,0.019397,2
20010117,0.012765,3
20010118,0.008503,4
20010119,0.003889,5
20010122,0.005409,1
20010123,0.014503,2
20010124,0.007334,3
20010125,-0.003271,4
20010126,0.001981,5
20010129,0.010241,1
20010130,0.009496,2
20010131,-0.000186,3
20010201,0.001981,4
20010202,-0.009211,5
20010205,-0.0038,1
20010206,0.002484,2
20010207,-0.004372,3
20010208,-0.003184,4
20010209,-0.00942,5
20010212,0.004851,1
20010213,-0.003471,2
20010214,-0.000471,3
20010215,0.009176,4
20010216,-0.014249,5
20010220,-0.012333,2
20010221,-0.015747,3
20010222,-0.01073,4
20010223,-0.002959,5
20010226,0.016207,1
20010227,-0.011579,2
20010228,-0.008457,3
20010301,-0.005529,4
20010302,0.004577,5
20010305,0.001909,1
20010306,0.009974,2
20010307,0.005565,3
20010308,-0.004224,4
20010309,-0.015035,5
20010312,-0.030858,1
20010313,0.005282,2
20010314,-0.017757,3
20010315,-0.00026,4
20010316,-0.017616,5
20010319,0.009298,1
20010320,-0.008476,2
20010321,-0.015924,3
20010322,-0.011322,4
20010323,0.020735,5
20010326,0.007545,1
20010327,0.009043,2
20010328,-0.017864,3
20010329,-0.006638,4
20010330,0.016029,5
20010402,-0.021388,1
20010403,-0.034221,2
20010404,-0.008293,3
20010405,0.03942,4
20010406,-0.0129,5
20010409,0.006263,1
20010410,0.023256,2
20010411,0.006776,3
20010412,0.014526,4
20010416,-0.003693,1
20010417,0.004963,2
20010418,0.028608,3
20010419,0.015537,4
20010420,0.001158,5
20010423,-0.00823,1
20010424,0.001786,2
20010425,0.011492,3
20010426,0.007542,4
20010427,0.011168,5
20010430,0.010092,1
20010501,0.01048,2
20010502,0.012459,3
20010503,-0.005414,4
20010504,0.010738,5
20010507,0.001476,1
20010508,0.004878,2
20010509,0.000589,3
20010510,0.003126,4
20010511,-0.001847,5
20010514,-0.002812,1
20010515,0.004048,2
20010516,0.00995,3
20010517,0.010521,4
20010518,0.004571,5
20010521,0.015968,1
20010522,0.007106,2
20010523,-0.007035,3
20010524,0.005501,4
20010525,0.002644,5
20010529,-0.008254,2
20010530,-0.016137,3
20010531,0.007385,4
20010601,0.006178,5
20010604,0.005395,1
20010605,0.011519,2
20010606,-0.003245,3
20010607,0.005451,4
20010608,-0.002053,5
20010611,-0.00567,1
20010612,-0.001294,2
20010613,-0.002359,3
20010614,-0.014896,4
20010615,-0.004954,5
20010618,-0.01287,1
20010619,-0.005598,2
20010620,0.001322,3
20010621,0.003736,4
20010622,-0.002506,5
20010625,-0.000232,1
20010626,0.004985,2
20010627,0.004311,3
20010628,0.007551,4
20010629,0.018676,5
20010702,-0.005515,1
20010703,-0.00022,2
20010705,-0.007426,4
20010706,-0.01183,5
20010709,0.002077,1
20010710,-0.009415,2
20010711,-0.005404,3
20010712,0.014724,4
20010713,0.003956,5
20010716,-0.007323,1
20010717,0.005277,2
20010718,-0.008032,3
20010719,0.005469,4
20010720,0.000342,5
20010723,-0.005555,1
20010724,-0.01153,2
20010725,0.002767,3
20010726,0.007667,4
20010727,0.003537,5
20010730,-0.001132,1
20010731,0.003212,2
20010801,0.006429,3
20010802,0.002546,4
20010803,0.000538,5
20010806,-0.005872,1
20010807,-0.000396,2
20010808,-0.009976,3
20010809,-0.001137,4
20010810,0.00076,5
20010813,0.002522,1
20010814,0.001603,2
20010815,-0.004703,3
20010816,-0.002093,4
20010817,-0.006839,5
20010820,-0.000471,1
20010821,-0.008021,2
20010822,0.004428,3
20010823,-0.003713,4
20010824,0.010828,5
20010827,-0.001761,1
20010828,-0.007404,2
20010829,-0.002892,3
20010830,-0.009196,4
20010831,0.005737,5
20010904,-0.005696,2
20010905,-0.008916,3
20010906,-0.014206,4
20010907,-0.011469,5
20010910,-0.007386,1
20010917,-0.042422,1
20010918,-0.009903,2
20010919,-0.023985,3
20010920,-0.03269,4
20010921,-0.020124,5
20010924,0.033197,1
20010925,0.003942,2
20010926,-0.009992,3
20010927,-0.000597,4
20010928,0.02512,5
20011001,-0.010047,1
20011002,0.006999,2
20011003,0.020645,3
20011004,0.01108,4
20011005,0.000516,5
20011008,-0.001954,1
20011009,-0.004059,2
20011010,0.019412,3
20011011,0.019487,4
20011012,0.000103,5
20011015,0.002574,1
20011016,0.011382,2
20011017,-0.006438,3
20011018,-0.004989,4
20011019,0.004698,5
20011022,0.008028,1
20011023,0.000508,2
20011024,0.003882,3
20011025,0.011123,4
20011026,0.007211,5
20011029,-0.008938,1
20011030,-0.011459,2
20011031,0.01077,3
20011101,0.008807,4
20011102,-0.000768,5
20011105,0.008504,1
20011106,0.007055,2
20011107,0.000711,3
20011108,0.002986,4
20011109,0.003398,5
20011112,0.001319,1
20011113,0.013968,2
20011114,0.007518,3
20011115,0.000386,4
20011116,0.006135,5
20011119,0.011582,1
20011120,-0.004848,2
20011121,0.000327,3
20011123,0.010444,5
20011126,0.005696,1
20011127,0.00168,2
20011128,-0.009949,3
20011129,0.009142,4
20011130,0.001078,5
20011203,-0.007378,1
20011204,0.011948,2
20011205,0.016934,3
20011206,0.006284,4
20011207,0.001822,5
20011210,-0.007332,1
20011211,0.002843,2
20011212,0.002093,3
20011213,-0.00834,4
20011214,0.002309,5
20011217,0.005058,1
20011218,0.007095,2
20011219,-0.002722,3
20011220,-0.008659,4
20011221,0.010192,5
20011224,0.003719,1
20011226,0.006924,3
20011227,0.008037,4
20011228,0.009327,5
20011231,0.006608,1
20020102,0.00793,3
20020103,0.012931,4
20020104,0.011241,5
20020107,-0.000098,1
20020108,0.004889,2
20020109,0.000739,3
20020110,0.000325,4
20020111,-0.003941,5
20020114,-0.010401,1
20020115,0.001015,2
20020116,-0.010982,3
20020117,0.00697,4
20020118,-0.006133,5
20020122,-0.008115,2
20020123,0.007761,3
20020124,0.005585,4
20020125,0.000233,5
20020128,0.000423,1
20020129,-0.011407,2
20020130,0.003623,3
20020131,0.009555,4
20020201,-0.002168,5
20020204,-0.016164,1
20020205,-0.007886,2
20020206,-0.009991,3
