## Daily log returns of Intel stock from 1996.01.02 to 2008.12.31

date           rtn
19960102       0.033040
19960103      -0.014925
19960104      -0.004329
19960105       0.000000
19960108       0.002174
19960109      -0.045553
19960110      -0.015909
19960111       0.050808
19960112      -0.004396
19960115      -0.057395
19960116       0.044496
19960117      -0.100897
19960118       0.017456
19960119       0.007353
19960122       0.012165
19960123       0.013221
19960124       0.039146
19960125      -0.002283
19960126       0.006865
19960129      -0.010227
19960130      -0.005006
19960131       0.020497
19960201       0.018388
19960202       0.008889
19960205       0.030837
19960206       0.017094
19960207      -0.021008
19960208      -0.006438
19960209       0.002160
19960212       0.004041
19960213      -0.019050
19960214       0.015317
19960215      -0.008621
19960216       0.001087
19960220       0.005429
19960221       0.021598
19960222       0.031712
19960223      -0.003074
19960226      -0.007194
19960227      -0.002070
19960228       0.008299
19960229      -0.031893
19960301      -0.046759
19960304      -0.021182
19960305       0.009112
19960306      -0.038375
19960307      -0.002347
19960308       0.007059
19960311       0.032710
19960312      -0.006787
19960313       0.022779
19960314       0.000000
19960315       0.048998
19960318       0.010616
19960319      -0.012605
19960320      -0.055319
19960321       0.006757
19960322       0.004474
19960325      -0.021993
19960326       0.022488
19960327       0.008909
19960328      -0.004415
19960329       0.008869
19960401       0.004396
19960402      -0.004376
19960403       0.013187
19960404       0.028200
19960408       0.023207
19960409       0.020619
19960410      -0.002020
19960411      -0.021255
19960412      -0.013444
19960415       0.015723
19960416       0.071207
19960417      -0.010597
19960418       0.024343
19960419      -0.007605
19960422       0.038314
19960423       0.005304
19960424       0.031429
19960425      -0.008897
19960426      -0.005386
19960429      -0.015668
19960430      -0.005505
19960501       0.001845
19960502       0.001842
19960503       0.010110
19960506       0.000910
19960507      -0.012727
19960508       0.012891
19960509      -0.001818
19960510       0.007286
19960513       0.037975
19960514       0.015679
19960515      -0.006861
19960516      -0.006908
19960517      -0.010435
19960520      -0.001757
19960521      -0.010563
19960522      -0.005338
19960523       0.014311
19960524       0.001764
19960528       0.021127
19960529      -0.015517
19960530       0.001751
19960531       0.055944
19960603       0.014901
19960604      -0.004078
19960605       0.007371
19960606      -0.021138
19960607       0.000000
19960610      -0.014950
19960611       0.015177
19960612       0.019934
19960613      -0.022801
19960614      -0.026667
19960617      -0.013699
19960618      -0.022569
19960619       0.014210
19960620      -0.003503
19960621       0.003515
19960624       0.031305
19960625      -0.009977
19960626      -0.005146
19960627       0.018966
19960628      -0.005922
19960701       0.022979
19960702      -0.004992
19960703       0.001672
19960705      -0.036728
19960708       0.012132
19960709       0.005137
19960710      -0.006814
19960711      -0.046312
19960712       0.025180
19960715      -0.029825
19960716       0.012658
19960717       0.023214
19960718       0.012216
19960719       0.003448
19960722      -0.006873
19960723      -0.038062
19960724      -0.007194
19960725       0.045290
19960726       0.029463
19960729      -0.018519
19960730       0.021269
19960731       0.010084
19960801       0.024958
19960802       0.022727
19960805      -0.007937
19960806       0.022400
19960807       0.031103
19960808      -0.019541
19960809       0.020124
19960812      -0.003035
19960813      -0.022831
19960814       0.018692
19960815       0.000000
19960816      -0.009174
19960819      -0.003086
19960820      -0.015480
19960821       0.009434
19960822       0.034268
19960823      -0.016566
19960826      -0.004594
19960827       0.003077
19960828      -0.003067
19960829       0.001538
